query,link,score_description,score,,Searches - GA4 Item-list view events (3 months Feb to April),Clicks - GA4 Item-list click events (3 months Feb to April),Item-list CTR,Weighted sort (Expected True Value),clusterID
international licence,,,,,80,32,40%,62.99%,797
speak to advisor,,,,,53,15,28%,62.99%,51
government jobs,,,,,53,15,28%,62.99%,179
travel visas,,,,,53,15,28%,62.99%,705
apostilled,,,,,53,15,28%,62.99%,1041
check if my car is insured,,,,,72,27,38%,62.99%,470
pfizer,,,,,64,22,34%,62.99%,130
graduate jobs,,,,,64,22,34%,62.99%,179
missing ni years,/check-national-insurance-record,3 perfect,3,,64,22,34%,62.99%,468
snow,,,,,64,22,34%,62.99%,526
contact ofsted,,,,,64,22,34%,62.99%,867
state aid,,,,,110,51,46%,62.99%,376
vehicle ownership,,,,,110,51,46%,62.99%,481
pre settel,,,,,83,34,41%,62.99%,244
electrol register,,,,,83,34,41%,62.99%,606
living crisis payment,,,,,56,17,30%,62.99%,63
hgv medical form,,,,,56,17,30%,62.99%,137
identity cards,,,,,56,17,30%,62.99%,431
donations,,,,,129,63,49%,62.99%,374
holding company,,,,,121,58,48%,62.99%,423
spring statement,,,,,67,24,36%,62.99%,287
court case,,,,,67,24,36%,62.99%,359
ecommerce,,,,,67,24,36%,62.99%,424
vat codes,,,,,67,24,36%,62.99%,617
social security scotland,,,,,59,19,32%,62.99%,275
roofing,,,,,59,19,32%,62.99%,519
transport for london,,,,,59,19,32%,62.99%,595
isbc,,,,,59,19,32%,62.99%,1155
referees and identity,,,,,78,31,40%,62.99%,818
immigration lawyer,,,,,51,14,27%,62.99%,325
nhs fees,,,,,51,14,27%,62.99%,452
ind out about money taken off your universal credit payments,,,,,51,14,27%,62.99%,937
email id,,,,,51,14,27%,62.99%,1453
construction jobs,,,,,70,26,37%,62.99%,179
change ownership of car,,,,,70,26,37%,62.99%,480
e visa,,,,,135,67,50%,62.99%,1456
mixed use,,,,,81,33,41%,62.99%,906
form c79,,,,,54,16,30%,62.99%,206
commercial invoice,,,,,54,16,30%,62.99%,413
2023/24,,,,,54,16,30%,62.99%,1032
small employer relief,,,,,100,45,45%,62.99%,419
best practice,,,,,73,28,38%,62.99%,74
event,,,,,73,28,38%,62.99%,295
secretary of state,,,,,65,23,35%,62.99%,311
employment laws,,,,,65,23,35%,62.99%,355
commercial lease,,,,,65,23,35%,62.99%,413
electricity generator levy,,,,,65,23,35%,62.99%,606
managing your mot account,,,,,65,23,35%,62.99%,813
alpha,,,,,138,69,50%,62.99%,549
gross misconduct,,,,,84,35,42%,62.99%,394
building regs,,,,,84,35,42%,62.99%,416
help with moving house,,,,,57,18,32%,62.99%,68
rent payment,,,,,57,18,32%,62.99%,409
visa updates,,,,,57,18,32%,62.99%,705
iht 403,,,,,57,18,32%,62.99%,1059
phd,,,,,103,47,46%,62.99%,1109
barclays bank plc,,,,,76,30,39%,62.99%,1335
child dependant visa,,,,,122,59,48%,62.99%,703
teaching job in uk,,,,,95,42,44%,62.99%,176
marrage,,,,,68,25,37%,62.99%,1037
mou,,,,,87,37,43%,62.99%,575
public,,,,,60,20,33%,62.99%,272
english courses,,,,,79,32,41%,62.99%,41
solar pv,,,,,52,15,29%,62.99%,589
passport expiry dates,,,,,52,15,29%,62.99%,803
publishing,,,,,52,15,29%,62.99%,824
gaming,,,,,52,15,29%,62.99%,872
2119,,,,,52,15,29%,62.99%,1328
tax exemption,/vehicle-exempt-from-vehicle-tax,3 perfect,3,,125,61,49%,62.99%,6
my new tax code,/tax-codes,3 perfect,3,,125,61,49%,62.99%,20
clean break order,,,,,125,61,49%,62.99%,515
learning disability,,,,,98,44,45%,62.99%,38
sixth form,,,,,98,44,45%,62.99%,207
pay cooperation tax,/pay-corporation-tax,3 perfect,3,,71,27,38%,62.99%,8
care assistance,,,,,71,27,38%,62.99%,188
branch,,,,,71,27,38%,62.99%,385
hedge,,,,,71,27,38%,62.99%,388
permission to appeal,,,,,71,27,38%,62.99%,844
consultancy,,,,,63,22,35%,62.99%,50
assistance dog,,,,,63,22,35%,62.99%,145
awards,,,,,63,22,35%,62.99%,380
section,,,,,63,22,35%,62.99%,1382
multi academy trusts,,,,,55,17,31%,62.99%,32
major,,,,,55,17,31%,62.99%,277
economic crime plan,,,,,55,17,31%,62.99%,288
alterative fuel payment,,,,,55,17,31%,62.99%,608
2018,,,,,55,17,31%,62.99%,986
deduction,,,,,74,29,39%,62.99%,218
tax contact number,/contact-hmrc,3 perfect,3,,120,58,48%,62.99%,19
pension schemes,,,,,120,58,48%,62.99%,403
boat,,,,,93,41,44%,62.99%,499
travelling to the uk,,,,,93,41,44%,62.99%,781
violence against women and girls,,,,,66,24,36%,62.99%,346
clothing grant,,,,,66,24,36%,62.99%,381
request a payment,,,,,112,53,47%,62.99%,458
mac,,,,,85,36,42%,62.99%,1067
2030,,,,,58,19,33%,62.99%,993
arated sponsorship,,,,,104,48,46%,62.99%,1343
online safety,,,,,77,31,40%,62.99%,228
new visa,,,,,50,14,28%,62.99%,59
depleted uranium,,,,,50,14,28%,62.99%,127
special support grant,,,,,50,14,28%,62.99%,378
paying hmrs,/topic/dealing-with-hmrc/paying-hmrc,3 perfect,3,,50,14,28%,62.99%,437
uc complaints,,,,,50,14,28%,62.99%,1038
link gov id check,,,,,50,14,28%,62.99%,1452
link gov uk id check,,,,,50,14,28%,62.99%,1452
capital gains tax payment for property disposals,/capital-gains-tax,3 perfect,3,,69,26,38%,62.99%,12
capital gains tax payment for property disposals,/report-and-pay-your-capital-gains-tax,3 perfect,3,,69,26,38%,62.99%,12
holiday home,,,,,69,26,38%,62.99%,160
marriage records,,,,,115,55,48%,62.99%,602
corparation tax,/corporation-tax,3 perfect,3,,61,21,34%,62.99%,4
net pay calculator,,,,,61,21,34%,62.99%,699
swimming,,,,,61,21,34%,62.99%,1251
s455,,,,,134,67,50%,62.99%,1289
immigration law,,,,,80,33,41%,62.99%,261
corporate social responsibility,,,,,80,33,41%,62.99%,275
mechanical,,,,,53,16,30%,62.99%,605
register of licenced sponsor workers,,,,,126,62,49%,62.99%,795
benefit uprating,,,,,99,45,45%,62.99%,78
payment exception,,,,,72,28,39%,62.99%,459
behaviour,,,,,118,57,48%,62.99%,125
rex,,,,,91,40,44%,62.99%,1233
living in uk,,,,,64,23,36%,62.99%,63
young people,,,,,64,23,36%,62.99%,109
schemes,,,,,110,52,47%,62.99%,401
driving teat,,,,,83,35,42%,62.99%,477
duel purpose vehicle,,,,,83,35,42%,62.99%,590
one off payment,,,,,83,35,42%,62.99%,937
driving l,,,,,56,18,32%,62.99%,1477
visa sponsored jobs,,,,,121,59,49%,62.99%,707
electric scooters,,,,,94,42,45%,62.99%,482
diplomat,,,,,94,42,45%,62.99%,1021
farmer,,,,,67,25,37%,62.99%,155
how to track my visa application,,,,,67,25,37%,62.99%,702
ce,,,,,86,37,43%,62.99%,980
digital twin,,,,,59,20,34%,62.99%,879
british airways,,,,,78,32,41%,62.99%,595
register of licenced sponsors: workers,,,,,78,32,41%,62.99%,795
category,,,,,78,32,41%,62.99%,819
verificare status,,,,,51,15,29%,62.99%,278
information services,,,,,51,15,29%,62.99%,285
marriage refund,/marriage-allowance,3 perfect,3,,51,15,29%,62.99%,449
digital nomad visa,,,,,51,15,29%,62.99%,802
passport validity checker,,,,,51,15,29%,62.99%,802
tax deductions,/income-tax-reliefs,2 good,2,,70,27,39%,62.99%,4
field safety notice,,,,,89,39,44%,62.99%,228
homeschool,/home-schooling-information-council,3 perfect,3,,62,22,35%,62.99%,22
homeschool,/home-education,3 perfect,3,,62,22,35%,62.99%,22
pip letter,,,,,62,22,35%,62.99%,248
value,,,,,62,22,35%,62.99%,399
manual handling,,,,,62,22,35%,62.99%,483
senior carer,,,,,54,17,31%,62.99%,105
chef jobs,,,,,54,17,31%,62.99%,179
employer reference number,,,,,54,17,31%,62.99%,862
ui,,,,,54,17,31%,62.99%,1009
t9,,,,,54,17,31%,62.99%,1218
abort test,,,,,127,63,50%,62.99%,243
nursing home,,,,,73,29,40%,62.99%,160
change of circumstances form,,,,,73,29,40%,62.99%,204
brp return,,,,,119,58,49%,62.99%,768
agricultural,,,,,111,53,48%,62.99%,223
claim my pension,,,,,111,53,48%,62.99%,367
full birth certificate,,,,,111,53,48%,62.99%,597
[postcode] form,,,,,84,36,43%,62.99%,998
job opportunities,,,,,57,19,33%,62.99%,176
channel,,,,,57,19,33%,62.99%,880
visa sponsorship,/uk-visa-sponsorship-employers,3 perfect,3,,130,65,50%,62.99%,705
change ownership of vehicle,,,,,76,31,41%,62.99%,480
brp renew,,,,,76,31,41%,62.99%,768
how to claim,,,,,87,38,44%,62.99%,367
"""vehicle licensing statistics""",,,,,87,38,44%,62.99%,481
children's social care,,,,,60,21,35%,62.99%,107
telecommunications,,,,,60,21,35%,62.99%,215
rural payments wales,,,,,60,21,35%,62.99%,271
change vehicle,,,,,60,21,35%,62.99%,480
development,,,,,106,50,47%,62.99%,215
information technology,,,,,106,50,47%,62.99%,236
employee tax,/paye-for-employers,3 perfect,3,,79,33,42%,62.99%,6
florida,,,,,79,33,42%,62.99%,1315
id verification,,,,,79,33,42%,62.99%,1453
house support,,,,,52,16,31%,62.99%,67
farmers,,,,,52,16,31%,62.99%,155
affirmation,,,,,52,16,31%,62.99%,291
nhs contributions,,,,,52,16,31%,62.99%,586
ilr renewal,,,,,52,16,31%,62.99%,789
overseas territories,,,,,52,16,31%,62.99%,1020
identity theft,,,,,98,45,46%,62.99%,279
circular economy,,,,,71,28,39%,62.99%,221
will trust,,,,,117,57,49%,62.99%,83
young carer,,,,,63,23,37%,62.99%,109
security job,,,,,63,23,37%,62.99%,176
defamation,,,,,63,23,37%,62.99%,288
order,,,,,63,23,37%,62.99%,365
diploma,,,,,55,18,33%,62.99%,24
prices,,,,,55,18,33%,62.99%,453
ireland visa,,,,,55,18,33%,62.99%,705
meningitis,,,,,128,64,50%,62.99%,122
water bill,,,,,74,30,41%,62.99%,362
civil service pay remit guidance,,,,,74,30,41%,62.99%,439
footwear,,,,,74,30,41%,62.99%,665
companies with cos,,,,,66,25,38%,62.99%,70
child sexual exploitation,,,,,66,25,38%,62.99%,346
slough,,,,,66,25,38%,62.99%,406
ds1500 form,,,,,112,54,48%,62.99%,207
give way,,,,,112,54,48%,62.99%,932
personal injury,,,,,85,37,44%,62.99%,333
appeal pack,,,,,85,37,44%,62.99%,601
300,,,,,85,37,44%,62.99%,946
live in uk test,,,,,58,20,34%,62.99%,243
flow chart,,,,,58,20,34%,62.99%,396
caribbean,,,,,58,20,34%,62.99%,1251
renew indefinite leave to remain,,,,,77,32,42%,62.99%,776
insurence,,,,,50,15,30%,62.99%,268
view your customs financial accounts,,,,,50,15,30%,62.99%,282
online payments,,,,,50,15,30%,62.99%,456
b4,,,,,50,15,30%,62.99%,1136
nursery school,/find-nursery-school-place,3 perfect,3,,69,27,39%,62.99%,22
heating oil grant,,,,,69,27,39%,62.99%,627
dependent,/uk-family-visa,3 perfect,3,,61,22,36%,62.99%,76
sia badge,,,,,61,22,36%,62.99%,1264
coc,,,,,107,51,48%,62.99%,1004
regulations,,,,,80,34,43%,62.99%,218
home secretary,,,,,53,17,32%,62.99%,160
statutory declaration form,,,,,53,17,32%,62.99%,204
pension phone number,,,,,53,17,32%,62.99%,859
plymouth,,,,,99,46,46%,62.99%,1205
ile,,,,,99,46,46%,62.99%,1305
s2,,,,,91,41,45%,62.99%,345
authorisation,,,,,110,53,48%,62.99%,291
checklist visa,,,,,83,36,43%,62.99%,705
tax fine,/self-assessment-tax-returns/penalties,3 perfect,3,,56,19,34%,62.99%,6
performance management,,,,,56,19,34%,62.99%,237
application track,,,,,56,19,34%,62.99%,603
change my adress,,,,,56,19,34%,62.99%,805
radio,,,,,56,19,34%,62.99%,882
key stage 3,,,,,56,19,34%,62.99%,962
family law,,,,,102,48,47%,62.99%,261
claim vat,,,,,75,31,41%,62.99%,617
masks,,,,,75,31,41%,62.99%,661
assessments,,,,,67,26,39%,62.99%,227
check pension status,,,,,86,38,44%,62.99%,764
claim income tax back,/claim-tax-refund,3 perfect,3,,59,21,36%,62.99%,10
summer time,,,,,59,21,36%,62.99%,90
public transport,,,,,59,21,36%,62.99%,272
maternity pay and leave,,,,,59,21,36%,62.99%,699
solihull,,,,,59,21,36%,62.99%,1252
apply for vat,,,,,105,50,48%,62.99%,617
civil jobs,,,,,78,33,42%,62.99%,178
pip tax refund,/guidance/claim-a-refund-of-income-tax-deducted-from-savings-and-investments,3 perfect,3,,51,16,31%,62.99%,10
break in learning,,,,,51,16,31%,62.99%,38
financial advisor,,,,,51,16,31%,62.99%,274
firefighter,,,,,51,16,31%,62.99%,508
euss application,,,,,51,16,31%,62.99%,793
chapter 8,,,,,51,16,31%,62.99%,961
neurodiversity,,,,,70,28,40%,62.99%,72
driveing licence,,,,,62,23,37%,62.99%,796
change of circumstances advance,,,,,62,23,37%,62.99%,805
create a account,,,,,62,23,37%,62.99%,919
contents,,,,,54,18,33%,62.99%,286
dates,,,,,73,30,41%,62.99%,321
referee declaration,,,,,73,30,41%,62.99%,818
life assurance,,,,,65,25,38%,62.99%,87
contractors,,,,,65,25,38%,62.99%,264
mat,,,,,65,25,38%,62.99%,676
appointment details,,,,,65,25,38%,62.99%,738
fgm training,,,,,84,37,44%,62.99%,81
self certification for sickness,/taking-sick-leave,3 perfect,3,,57,20,35%,62.99%,196
how to upload documents,,,,,57,20,35%,62.99%,750
dsar,,,,,57,20,35%,62.99%,1410
business travel,,,,,95,44,46%,62.99%,781
uk ghic,,,,,95,44,46%,62.99%,1282
result,,,,,68,27,40%,62.99%,242
television licence,,,,,68,27,40%,62.99%,881
airrated sponsorship,,,,,68,27,40%,62.99%,1343
ev charger,,,,,68,27,40%,62.99%,1403
diplomatic,,,,,87,39,45%,62.99%,1021
working from home during covid,/tax-relief-for-employees/working-at-home,3 perfect,3,,60,22,37%,62.99%,64
furniture grant,,,,,60,22,37%,62.99%,381
compassionate,,,,,52,17,33%,62.99%,32
workforce,,,,,52,17,33%,62.99%,264
content,,,,,52,17,33%,62.99%,286
pay as your earn,/log-in-register-hmrc-online-services,3 perfect,3,,52,17,33%,62.99%,695
aldi,,,,,52,17,33%,62.99%,1269
ankara,,,,,52,17,33%,62.99%,1280
mot test procedures,,,,,98,46,47%,62.99%,243
bitcoin,,,,,71,29,41%,62.99%,387
ched,,,,,63,24,38%,62.99%,572
eco grants,,,,,63,24,38%,62.99%,621
kyc,,,,,63,24,38%,62.99%,1423
over paid tax,/tax-overpayments-and-underpayments,3 perfect,3,,109,53,49%,62.99%,10
cfd,,,,,109,53,49%,62.99%,1178
merger,,,,,82,36,44%,62.99%,1344
new starter declaration form,,,,,55,19,35%,62.99%,58
biomethane,,,,,55,19,35%,62.99%,127
appointment booking,,,,,55,19,35%,62.99%,293
budget statement,,,,,55,19,35%,62.99%,393
business insurance,,,,,55,19,35%,62.99%,424
de register for vat,,,,,55,19,35%,62.99%,977
graffiti,,,,,55,19,35%,62.99%,1252
lost national insurance card,,,,,74,31,42%,62.99%,269
how to get utr number,,,,,93,43,46%,62.99%,929
brownfield,,,,,93,43,46%,62.99%,1207
pwc,,,,,58,21,36%,62.99%,584
unskilled visa,,,,,58,21,36%,62.99%,705
child benefit statement,,,,,104,50,48%,62.99%,104
council tax number,/pay-council-tax,1 okay,1,,50,16,32%,62.99%,19
cleaning jobs,,,,,50,16,32%,62.99%,179
membership,,,,,50,16,32%,62.99%,297
house rent,,,,,50,16,32%,62.99%,409
passport validation,,,,,50,16,32%,62.99%,802
utrn,,,,,50,16,32%,62.99%,1157
responsible person,,,,,69,28,41%,62.99%,79
warrington,,,,,69,28,41%,62.99%,1210
next of kin,,,,,115,57,50%,62.99%,552
traveling to uk,,,,,88,40,45%,62.99%,781
alarms,,,,,61,23,38%,62.99%,510
infosys,,,,,61,23,38%,62.99%,839
report someone,,,,,80,35,44%,62.99%,835
living will,,,,,53,18,34%,62.99%,83
healthcare abroad,,,,,53,18,34%,62.99%,183
change bank details for state pension,,,,,53,18,34%,62.99%,383
investment bond,,,,,53,18,34%,62.99%,391
numbers,,,,,99,47,47%,62.99%,862
life expectancy,,,,,72,30,42%,62.99%,87
pa2,,,,,72,30,42%,62.99%,120
pip online form,,,,,72,30,42%,62.99%,248
representative,,,,,72,30,42%,62.99%,297
foul water drainage,,,,,72,30,42%,62.99%,520
missing,,,,,72,30,42%,62.99%,596
special rules,,,,,64,25,39%,62.99%,363
funded courses,,,,,83,37,45%,62.99%,379
short term business visitors,,,,,83,37,45%,62.99%,819
illegal immigration,,,,,56,20,36%,62.99%,354
apply to visit or stay in uk,,,,,56,20,36%,62.99%,777
find an apprentice,,,,,56,20,36%,62.99%,916
deprivation,,,,,102,49,48%,62.99%,211
company secretary,,,,,94,44,47%,62.99%,423
special controls for disabled use,,,,,94,44,47%,62.99%,906
pandemic preparedness,,,,,67,27,40%,62.99%,787
ch03,,,,,67,27,40%,62.99%,1347
returning old passport,,,,,86,39,45%,62.99%,173
job offer,,,,,59,22,37%,62.99%,176
change of employment,,,,,59,22,37%,62.99%,804
help for housholds,,,,,59,22,37%,62.99%,914
europe,,,,,59,22,37%,62.99%,1014
camping,,,,,59,22,37%,62.99%,1365
key workers,,,,,51,17,33%,62.99%,276
open access,,,,,51,17,33%,62.99%,420
divorce contact,,,,,51,17,33%,62.99%,867
u2,,,,,51,17,33%,62.99%,1356
performance,,,,,116,58,50%,62.99%,237
double tax,/tax-foreign-income/taxed-twice,3 perfect,3,,89,41,46%,62.99%,6
corporate,,,,,62,24,39%,62.99%,424
vehicle enquires,,,,,62,24,39%,62.99%,481
view statements,,,,,108,53,49%,62.99%,283
jacking up vehicle,,,,,54,19,35%,62.99%,637
email address for pip,,,,,54,19,35%,62.99%,732
eu statement,,,,,54,19,35%,62.99%,771
marital status,,,,,100,48,48%,62.99%,278
smart meters,,,,,100,48,48%,62.99%,875
pay hrmc,,,,,73,31,42%,62.99%,699
migrant health,,,,,65,26,40%,62.99%,183
pay increase,,,,,65,26,40%,62.99%,699
ihs reference number,,,,,65,26,40%,62.99%,860
national risk register,,,,,84,38,45%,62.99%,249
daf payment,/government/publications/early-years-funding-2023-to-2024/early-years-entitlements-local-authority-funding-operational-guide-2023-to-2024,3 perfect,3,,57,21,37%,62.99%,334
repayment pending,,,,,57,21,37%,62.99%,596
p86,,,,,57,21,37%,62.99%,1219
health and safety at work,,,,,103,50,49%,62.99%,183
settlement agreement,,,,,76,33,43%,62.99%,289
pad,,,,,76,33,43%,62.99%,677
visa validity,,,,,76,33,43%,62.99%,705
v948,,,,,76,33,43%,62.99%,1283
starting work,,,,,68,28,41%,62.99%,62
head of central bank digital currency,,,,,68,28,41%,62.99%,385
change driver license,,,,,68,28,41%,62.99%,480
divorce status,,,,,87,40,46%,62.99%,278
pda1,,,,,87,40,46%,62.99%,1327
care certificate,,,,,60,23,38%,62.99%,188
hmrc telephone,,,,,60,23,38%,62.99%,507
licenses,,,,,79,35,44%,62.99%,797
oversea,,,,,79,35,44%,62.99%,1020
common law,,,,,52,18,35%,62.99%,261
liability,,,,,52,18,35%,62.99%,270
representation,,,,,52,18,35%,62.99%,297
elect,,,,,52,18,35%,62.99%,308
petrol allowance,,,,,52,18,35%,62.99%,608
chang address,,,,,52,18,35%,62.99%,805
fsm,,,,,52,18,35%,62.99%,1416
child services,,,,,71,30,42%,62.99%,104
permanent,,,,,71,30,42%,62.99%,415
emis,,,,,71,30,42%,62.99%,610
uk visa status,,,,,71,30,42%,62.99%,708
help to claim,,,,,71,30,42%,62.99%,914
lost lpa,,,,,63,25,40%,62.99%,770
cloned plates,,,,,63,25,40%,62.99%,864
therapy,,,,,55,20,36%,62.99%,34
new build,,,,,55,20,36%,62.99%,59
testers guide,,,,,55,20,36%,62.99%,837
bn(o),,,,,55,20,36%,62.99%,1476
illness,,,,,74,32,43%,62.99%,126
housing and local services,,,,,74,32,43%,62.99%,305
rde2,,,,,74,32,43%,62.99%,1094
b1 exam,,,,,74,32,43%,62.99%,1376
amendments,,,,,66,27,41%,62.99%,291
honours list,,,,,66,27,41%,62.99%,767
contact number tax,/contact-hmrc,3 perfect,3,,85,39,46%,62.99%,19
emergency warning,,,,,85,39,46%,62.99%,511
petrol engine,,,,,58,22,38%,62.99%,607
covid 2023,/coronavirus,3 perfect,3,,58,22,38%,62.99%,784
dwp number,,,,,58,22,38%,62.99%,858
deed of assignment,,,,,58,22,38%,62.99%,1027
ccd,,,,,58,22,38%,62.99%,1058
week 53,,,,,58,22,38%,62.99%,1384
index,,,,,104,51,49%,62.99%,397
real time information,,,,,77,34,44%,62.99%,89
teenage pregnancy,,,,,77,34,44%,62.99%,116
register of deaths,,,,,77,34,44%,62.99%,330
cyber crime,,,,,77,34,44%,62.99%,338
support scheme,,,,,77,34,44%,62.99%,401
esa 50,,,,,77,34,44%,62.99%,949
gun,,,,,50,17,34%,62.99%,341
elderly housing,,,,,50,17,34%,62.99%,418
single trade window,,,,,50,17,34%,62.99%,595
painter,,,,,50,17,34%,62.99%,1196
deregister self assessment,,,,,96,46,48%,62.99%,196
sound dead,,,,,96,46,48%,62.99%,553
collection,,,,,96,46,48%,62.99%,823
paye for employees,,,,,69,29,42%,62.99%,407
vehicle licence,,,,,69,29,42%,62.99%,481
probate update,,,,,69,29,42%,62.99%,739
caravans,,,,,69,29,42%,62.99%,1365
am i owed tax,/tax-overpayments-and-underpayments,3 perfect,3,,61,24,39%,62.99%,6
help with white goods,,,,,61,24,39%,62.99%,68
form u1,,,,,61,24,39%,62.99%,208
booking appointment,,,,,61,24,39%,62.99%,293
leasing,,,,,61,24,39%,62.99%,413
parkinsons,,,,,61,24,39%,62.99%,1252
appendix 2,,,,,107,53,50%,62.99%,962
rights of way,,,,,80,36,45%,62.99%,932
grants for business,,,,,53,19,36%,62.99%,382
employee paye,,,,,72,31,43%,62.99%,407
clear zone,,,,,72,31,43%,62.99%,527
camera,,,,,72,31,43%,62.99%,877
family tax credit,/working-tax-credit,2 good,2,,64,26,41%,62.99%,10
col payments,/guidance/cost-of-living-payment,3 perfect,3,,110,55,50%,62.99%,1433
nch,,,,,83,38,46%,62.99%,153
euro,,,,,83,38,46%,62.99%,1015
e-cigarette,,,,,83,38,46%,62.99%,1457
monitoring,,,,,56,21,38%,62.99%,237
bet test,,,,,56,21,38%,62.99%,243
pre-action protocol,,,,,56,21,38%,62.99%,244
tool,,,,,56,21,38%,62.99%,485
chicken,,,,,56,21,38%,62.99%,648
pbs visa,,,,,56,21,38%,62.99%,703
link the app,,,,,56,21,38%,62.99%,713
child minder,,,,,102,50,49%,62.99%,104
self assessment contact number,,,,,102,50,49%,62.99%,196
automatic enrolment,,,,,94,45,48%,62.99%,484
sds,,,,,67,28,42%,62.99%,512
hmrc tax check,/guidance/hmrc-tools-and-calculators,2 good,2,,59,23,39%,62.99%,10
antibiotics,,,,,59,23,39%,62.99%,131
document upload,,,,,59,23,39%,62.99%,750
quarantine,/coronavirus,2 good,2,,59,23,39%,62.99%,786
cos number,,,,,59,23,39%,62.99%,864
uk resident,,,,,105,52,50%,62.99%,414
vans,,,,,78,35,45%,62.99%,1366
pension rules,,,,,51,18,35%,62.99%,363
log into my account,,,,,97,47,48%,62.99%,736
driver job,,,,,70,30,43%,62.99%,176
tables,,,,,62,25,40%,62.99%,560
kickstart,,,,,62,25,40%,62.99%,1326
personaltax account,,,,,108,54,50%,62.99%,282
drones,,,,,108,54,50%,62.99%,501
tiktok,,,,,108,54,50%,62.99%,1254
disabled vehicles,,,,,81,37,46%,62.99%,481
fruitful jobs,,,,,54,20,37%,62.99%,179
sh04,,,,,54,20,37%,62.99%,744
self employed pension,,,,,73,32,44%,62.99%,196
feraru madalin,,,,,73,32,44%,62.99%,1254
care assistant job,,,,,65,27,42%,62.99%,176
register of licensed,,,,,65,27,42%,62.99%,794
private landlords,,,,,57,22,39%,62.99%,412
60,,,,,57,22,39%,62.99%,945
tier 2 companies,,,,,57,22,39%,62.99%,957
copy of title deeds,,,,,57,22,39%,62.99%,1026
sta,,,,,57,22,39%,62.99%,1424
bond,,,,,103,51,50%,62.99%,392
passport progress,,,,,76,34,45%,62.99%,802
uk naric,,,,,76,34,45%,62.99%,1330
part time work,,,,,68,29,43%,62.99%,88
civil partner,,,,,68,29,43%,62.99%,313
surveys,,,,,68,29,43%,62.99%,834
smart motorways,,,,,68,29,43%,62.99%,875
driving tes,,,,,68,29,43%,62.99%,1367
resettlement,,,,,87,41,47%,62.99%,289
legal guardian,,,,,60,24,40%,62.99%,325
medical cannabis,,,,,106,53,50%,62.99%,37
gcse results,,,,,106,53,50%,62.99%,555
find a death,,,,,79,36,46%,62.99%,915
conversion therapy,,,,,52,19,37%,62.99%,34
registration as a british citizen,,,,,52,19,37%,62.99%,44
health care assistant,,,,,52,19,37%,62.99%,189
cold weather payment scotland,,,,,52,19,37%,62.99%,530
my passport,,,,,52,19,37%,62.99%,802
tpo,,,,,98,48,49%,62.99%,1167
motor home,,,,,71,31,44%,62.99%,160
account log in,,,,,71,31,44%,62.99%,282
sugar,,,,,90,43,48%,62.99%,645
buy road tax,/vehicle-tax,3 perfect,3,,63,26,41%,62.99%,15
farm workers,,,,,63,26,41%,62.99%,155
employer pension contributions,,,,,63,26,41%,62.99%,403
telephone number hmrc,,,,,63,26,41%,62.99%,506
country,,,,,55,21,38%,62.99%,220
conservation areas,,,,,55,21,38%,62.99%,223
60 days,,,,,55,21,38%,62.99%,944
cumbria,,,,,55,21,38%,62.99%,1208
ni credit,,,,,101,50,50%,62.99%,465
check if car is insured,,,,,101,50,50%,62.99%,470
energy drinks,,,,,101,50,50%,62.99%,612
award letter,,,,,74,33,45%,62.99%,380
guaranteed pension credit,,,,,66,28,42%,62.99%,461
flag,,,,,66,28,42%,62.99%,1245
new born,,,,,66,28,42%,62.99%,1338
remove sorn,,,,,85,40,47%,62.99%,547
peterborough,,,,,85,40,47%,62.99%,1207
equalisation,,,,,58,23,40%,62.99%,211
discounts,,,,,58,23,40%,62.99%,443
buying a house,,,,,104,52,50%,62.99%,161
welsh,,,,,77,35,45%,62.99%,1284
help with travel costs,,,,,50,18,36%,62.99%,68
health and saftey,,,,,50,18,36%,62.99%,183
court hearing,,,,,50,18,36%,62.99%,359
media bill,,,,,50,18,36%,62.99%,362
postal address for hmrc,,,,,50,18,36%,62.99%,507
horizon,,,,,50,18,36%,62.99%,562
on call,,,,,50,18,36%,62.99%,866
shelter,,,,,50,18,36%,62.99%,1018
archives,,,,,96,47,49%,62.99%,822
weights,,,,,69,30,43%,62.99%,614
list of companies,,,,,69,30,43%,62.99%,767
warehouse jobs,,,,,61,25,41%,62.99%,179
public service pensions increase,,,,,61,25,41%,62.99%,271
student load,,,,,61,25,41%,62.99%,613
3 months,,,,,61,25,41%,62.99%,974
personal saving allowance,,,,,80,37,46%,62.99%,268
marriage name change,,,,,80,37,46%,62.99%,808
subsidies,,,,,53,20,38%,62.99%,406
personal reg,,,,,53,20,38%,62.99%,544
gift allowance,,,,,72,32,44%,62.99%,441
application number,,,,,72,32,44%,62.99%,862
apprentice,,,,,72,32,44%,62.99%,1341
tier 2 sponsorship companies,,,,,64,27,42%,62.99%,957
resilience,,,,,83,39,47%,62.99%,72
ict visa,,,,,83,39,47%,62.99%,577
caregiver visa,,,,,83,39,47%,62.99%,705
health care,,,,,56,22,39%,62.99%,189
change bank details for child benefit,,,,,56,22,39%,62.99%,383
brma,,,,,56,22,39%,62.99%,1155
swindon,,,,,56,22,39%,62.99%,1210
head rest,,,,,75,34,45%,62.99%,565
dependents visa,,,,,94,46,49%,62.99%,709
antibiotic resistance,,,,,67,29,43%,62.99%,131
ordinary power of attorney,,,,,67,29,43%,62.99%,326
car,,,,,67,29,43%,62.99%,469
